id,pname,pcode,cityname,citycode,adname,adcode,name,address,tel,business_area,bigType,midType,smallType,typecode,gcjLng,gcjLat,wgs84Lng,wgs84Lat,评分,是否可订餐,价格,星级,标签,类型,longitude,latitude,acc_type
e4620063-016c-3f77-aea1-19e7c6d0ff2b,广东省,440000,广州市,20,白云区,440111,旺邦公寓,金围东路一横路与朝阳地利街交叉口东北20米,13822202283,石井,住宿服务,旅馆招待所,旅馆招待所,100200,113.203173,23.238472,113.197806,23.241074,[],0,[],[],[],hotel,113.197806,23.241074,homestay
3ac00340-ed5e-3b57-af26-d4a206ff6f98,广东省,440000,广州市,20,白云区,440111,时尚公寓(广州鸦岗店),鸦岗村横丫涌街七巷27号,19102042501,石井,住宿服务,旅馆招待所,旅馆招待所,100200,113.198273,23.233473,113.192898,23.236069,[],1,[],[],[],hotel,113.192898,23.236069,homestay
924d4ddc-548b-37d4-9932-c4f06304f4cc,广东省,440000,广州市,20,白云区,440111,大众公寓(广州鸦岗店),鸦岗村横丫涌街七巷21号,[],石井,住宿服务,旅馆招待所,旅馆招待所,100200,113.198506,23.233257,113.193132,23.235853,[],1,[],[],[],hotel,113.193132,23.235853,homestay
40669674-e279-3077-ab27-a2572d7436c3,广东省,440000,广州市,20,白云区,440111,民纵公寓,横丫涌街七巷与孔桥街交叉口南80米,[],石井,住宿服务,旅馆招待所,旅馆招待所,100200,113.198354,23.233334,113.19298,23.23593,[],0,[],[],[],hotel,113.19298,23.23593,homestay
20e6faff-1fef-3727-b66e-6b8078d2fb99,广东省,440000,广州市,20,白云区,440111,美眠阁酒店,石井街鸦岗村横丫涌街七巷25号,18620099225,石井,住宿服务,宾馆酒店,经济型连锁酒店,100105,113.19828,23.233391,113.192905,23.235987,[],0,[],[],[],hotel,113.192905,23.235987,hotel
0b45a43b-5a9d-3200-8878-055fe06eae37,广东省,440000,广州市,20,白云区,440111,7酒店,横丫涌街七巷与孔桥街交叉口南80米,18620099225,石井,住宿服务,宾馆酒店,宾馆酒店,100100,113.198273,23.233385,113.192898,23.235981,[],0,[],[],[],hotel,113.192898,23.235981,hotel
da312035-1292-3dff-9a9f-e8931ec8d422,广东省,440000,广州市,20,白云区,440111,广州趣团公寓,太岗公路与流达北街交叉口西北20米,13725123502,人和,住宿服务,旅馆招待所,旅馆招待所,100200,113.269281,23.34026,113.263933,23.342865,[],0,[],[],[],hotel,113.263933,23.342865,homestay
a533d909-cafb-3a97-9c36-07adddea26f7,广东省,440000,广州市,20,白云区,440111,常乐电梯公寓,横沥太岗路77号,18011964012,人和,住宿服务,旅馆招待所,旅馆招待所,100200,113.268097,23.33835,113.262751,23.340956,4.4,1,[],[],[],hotel,113.262751,23.340956,homestay
456977bf-82ca-369a-afb8-7fa89ce599dd,广东省,440000,广州市,20,白云区,440111,九月的春天,横沥中街与拱津街交叉口东北100米,[],人和,住宿服务,住宿服务相关,住宿服务相关,100000,113.265269,23.338174,113.259925,23.340782,[],0,[],[],[],hotel,113.259925,23.340782,other
033d5bd7-e874-3dc7-974e-0dbabd433fc9,广东省,440000,广州市,20,番禺区,440113,悦漫·滑滑梯乐园民宿(广州汉溪长隆地铁站店),奥园城市天地7区3栋大堂,18824400885,[],住宿服务,住宿服务相关,住宿服务相关,100000,113.334919,22.991672,113.329484,22.994303,4.3,1,[],[],[],hotel,113.329484,22.994303,homestay
