id,pname,pcode,cityname,citycode,adname,adcode,name,address,tel,business_area,bigType,midType,smallType,typecode,gcjLng,gcjLat,wgs84Lng,wgs84Lat,评分,门票,标签,type,longitude,latitude,rating,full_type,red_score,red_level,red_themes
b968af04-a225-38c4-9da7-054f42daccce,广东省,440000,广州市,20,番禺区,440113,植村公园,大石街植村新置路99号,[],大石,风景名胜,风景名胜,风景名胜,110200,113.325869,23.015839,113.320451,23.018477,4.4,[],[],tour,113.320451,23.018477,4.4,风景名胜_风景名胜_风景名胜,0,non_red,['红色文化']
a4520add-13fa-3dfc-95e6-0375483f5644,广东省,440000,广州市,20,番禺区,440113,乡贤世大夫马公祠,南大公路186号附近,[],大石,风景名胜,风景名胜,风景名胜,110200,113.32513,23.012285,113.319714,23.014926,3.5,[],[],tour,113.319714,23.014926,3.5,风景名胜_风景名胜_风景名胜,0,non_red,['红色文化']
293cdab9-de5f-3846-9eba-c51d65037036,广东省,440000,广州市,20,番禺区,440113,陈日章祠堂,大石植村五路,[],大石,风景名胜,风景名胜,寺庙道观,110205,113.327599,23.013586,113.322178,23.016221,3.9,[],[],tour,113.322178,23.016221,3.9,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
408a3f80-3cdd-3a95-bc1d-efd14a8440fe,广东省,440000,广州市,20,番禺区,440113,马氏宗祠,南大公路186号,[],大石,风景名胜,风景名胜相关,旅游景点,110000,113.325015,23.012201,113.319599,23.014842,3.6,[],[],tour,113.319599,23.014842,3.6,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
f19bcdd2-c470-3ed6-87f6-beeabc6440e0,广东省,440000,广州市,20,番禺区,440113,梁氏宗祠,新光快速路悦凯中心(大石地铁站东南),[],大石,风景名胜,风景名胜,寺庙道观,110205,113.323276,23.01477,113.317864,23.017413,3.4,[],[],tour,113.317864,23.017413,3.4,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
c33a7867-ea51-3bb4-bfad-bcafa5a70777,广东省,440000,广州市,20,番禺区,440113,日章陈祠堂,植村五路与工业四路交叉口西北340米,[],大石,风景名胜,风景名胜相关,旅游景点,110000,113.327689,23.0133,113.322268,23.015935,3.4,[],[],tour,113.322268,23.015935,3.4,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
22ddafd4-64a1-399a-9ba1-c3db34765274,广东省,440000,广州市,20,番禺区,440113,秋水陈公祠,大石植村五路篮球场对面,[],大石,风景名胜,风景名胜,寺庙道观,110205,113.327651,23.012957,113.32223,23.015593,4.2,[],[],tour,113.32223,23.015593,4.2,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
a78d326f-6216-3448-96fc-887d05db5703,广东省,440000,广州市,20,番禺区,440113,渔隐祖,南村镇植村五路,[],大石,风景名胜,风景名胜,风景名胜,110200,113.327649,23.012771,113.322228,23.015407,3.3,[],[],tour,113.322228,23.015407,3.3,风景名胜_风景名胜_风景名胜,0,non_red,['红色文化']
31fb6c0a-36f2-3e16-ab92-61b54716d36b,广东省,440000,广州市,20,番禺区,440113,植氏大宗祠,南大公路植村,[],大石,风景名胜,风景名胜,纪念馆,110204,113.325903,23.011724,113.320485,23.014363,3.9,[],[],tour,113.320485,23.014363,3.9,风景名胜_风景名胜_纪念馆,3,important_red,['烈士纪念']
5ed53f38-5f73-3169-9320-93b43513a8d3,广东省,440000,广州市,20,番禺区,440113,东涧公祠,南大路与新光快速出口交叉口北100米,[],大石,风景名胜,风景名胜,寺庙道观,110205,113.322837,23.013211,113.317426,23.015856,3.5,[],[],tour,113.317426,23.015856,3.5,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
23d49173-287f-3cc9-81ba-89f39fe7596e,广东省,440000,广州市,20,番禺区,440113,植氏祠堂,大石镇植村幼儿园植氏祠堂,[],大石,风景名胜,风景名胜,风景名胜,110200,113.324722,23.011623,113.319307,23.014265,4,[],[],tour,113.319307,23.014265,4.0,风景名胜_风景名胜_风景名胜,0,non_red,['红色文化']
04e89d5c-803f-36ac-bcc5-63d8486e9408,广东省,440000,广州市,20,番禺区,440113,周南里门楼,朱紫坊新街与村西路交叉口西140米,[],大石,风景名胜,风景名胜相关,旅游景点,110000,113.329643,23.01418,113.324217,23.016811,4.1,[],[],tour,113.324217,23.016811,4.1,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
6cc8b8d0-da47-3747-8c35-363e34190fcd,广东省,440000,广州市,20,番禺区,440113,冼氏宗祠,河村永宁北街1号之一权龙公寓山边街三巷,[],大石,风景名胜,风景名胜,寺庙道观,110205,113.330321,23.015076,113.324894,23.017706,4.1,[],[],tour,113.324894,23.017706,4.1,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
84552b12-e681-3957-95ad-a09f068bf1ae,广东省,440000,广州市,20,番禺区,440113,华光庙,礼村东路与新光快速入口交叉口西80米,[],大石,风景名胜,风景名胜,寺庙道观,110205,113.32052,23.011831,113.315113,23.014481,4.6,[],[],tour,113.315113,23.014481,4.6,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
5dad2615-59ed-3542-9458-c2f2cd3b77b1,广东省,440000,广州市,20,黄埔区,440112,崇德朱公祠,沙尾大街与横沙环村路交叉口南260米,[],丰乐北路,风景名胜,风景名胜,寺庙道观,110205,113.449295,23.111905,113.443831,23.114455,3.3,[],[],tour,113.443831,23.114455,3.3,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
56b98d5b-9a05-3542-84a9-8e886fd008c9,广东省,440000,广州市,20,黄埔区,440112,朱氏大宗祠,福聚直街28号,[],丰乐北路,风景名胜,风景名胜,寺庙道观,110205,113.449204,23.112052,113.44374,23.114602,4,[],[],tour,113.44374,23.114602,4.0,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
7af6a852-defa-3d52-8156-544270a2abc2,广东省,440000,广州市,20,黄埔区,440112,百忍罗公祠,横沙环村路与丰乐北路交叉口西300米,[],丰乐北路,风景名胜,风景名胜,寺庙道观,110205,113.450207,23.11011,113.444745,23.112663,3.3,[],[],tour,113.444745,23.112663,3.3,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
17a90acb-4597-3fb0-b68a-3222d7269ae8,广东省,440000,广州市,20,黄埔区,440112,黎氏宗祠,横沙村北正街,[],丰乐北路,风景名胜,风景名胜,寺庙道观,110205,113.448361,23.109917,113.442895,23.112466,4,[],[],tour,113.442895,23.112466,4.0,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
570b7052-0283-329c-92d4-9966bd50e328,广东省,440000,广州市,20,黄埔区,440112,海月罗公祠,丰乐北路大沙街横沙社区文化室北,[],丰乐北路,风景名胜,风景名胜,风景名胜,110200,113.449983,23.109518,113.444521,23.11207,3.2,[],[],tour,113.444521,23.11207,3.2,风景名胜_风景名胜_风景名胜,0,non_red,['红色文化']
337ba89a-7fdd-3515-911f-328357857ed1,广东省,440000,广州市,20,黄埔区,440112,磻江罗公祠,黄埔区横沙大街51号,[],丰乐北路,风景名胜,风景名胜,红色景区,110210,113.450006,23.109504,113.444544,23.112057,3.3,[],[],tour,113.444544,23.112057,3.3,风景名胜_风景名胜_红色景区,3,important_red,['革命历史']
41351c5f-32f3-327a-b2b7-0fab16e9f1f5,广东省,440000,广州市,20,黄埔区,440112,于野罗公祠,大沙地东大沙街横沙社区文化室,[],丰乐北路,风景名胜,风景名胜相关,旅游景点,110000,113.450233,23.108597,113.444772,23.11115,2.9,[],[],tour,113.444772,23.11115,2.9,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
5119f1e1-2513-31fa-866e-180e753cff2d,广东省,440000,广州市,20,黄埔区,440112,东苑公园,港湾路661号,[],大沙,风景名胜,公园广场,公园,110101,113.446573,23.109273,113.441103,23.111819,4.3,[],[],tour,113.441103,23.111819,4.3,风景名胜_公园广场_公园,0,non_red,['红色文化']
e4b746d9-ba25-3963-adbd-66f1389873fd,广东省,440000,广州市,20,黄埔区,440112,罗氏宗祠,黄埔横沙村,[],丰乐北路,风景名胜,风景名胜,寺庙道观,110205,113.450466,23.108365,113.445005,23.110919,4.1,[],[],tour,113.445005,23.110919,4.1,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
f9493260-343a-3ecc-9d7d-c5ff8f049b4c,广东省,440000,广州市,20,黄埔区,440112,横沙书香街历史风貌区,横沙大街19号,[],丰乐北路,风景名胜,风景名胜,风景名胜,110200,113.450401,23.108342,113.44494,23.110896,3.7,[],[],tour,113.44494,23.110896,3.7,风景名胜_风景名胜_风景名胜,0,non_red,['红色文化']
8776a737-d9fd-3da4-a31a-561675b5950d,广东省,440000,广州市,20,黄埔区,440112,黄埔书香街,横沙小学附近,[],丰乐北路,风景名胜,风景名胜相关,旅游景点,110000,113.450564,23.107918,113.445103,23.110472,3.7,[],[],tour,113.445103,23.110472,3.7,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
eaa0014b-a816-3385-a31c-3a33333c1755,广东省,440000,广州市,20,黄埔区,440112,罗聘公祠,沙边街与沙边东街交叉口西南80米,[],大沙东,风景名胜,风景名胜相关,旅游景点,110000,113.450869,23.107156,113.445409,23.109711,3.5,[],[],tour,113.445409,23.109711,3.5,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
1e1d5ad7-665b-3b90-aa52-b66d59312690,广东省,440000,广州市,20,黄埔区,440112,乐天罗公祠,沙边街与沙边东街交叉口东南40米,[],大沙东,风景名胜,风景名胜相关,旅游景点,110000,113.451712,23.107104,113.446254,23.109661,2.7,[],[],tour,113.446254,23.109661,2.7,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
3ed7270c-eeb2-3a29-8043-25fa51526d25,广东省,440000,广州市,20,黄埔区,440112,秀福莫公祠,沙边街与沙边东街交叉口西南260米,[],丰乐北路,风景名胜,风景名胜,寺庙道观,110205,113.449353,23.106395,113.44389,23.108947,3.4,[],[],tour,113.44389,23.108947,3.4,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
083150d9-2341-3722-8fd7-349a48d027b3,广东省,440000,广州市,20,从化区,440117,三圣殿,七星西路26号附近,13533019093,江埔,风景名胜,风景名胜,寺庙道观,110205,113.595836,23.540926,113.590732,23.543698,3,[],[],tour,113.590732,23.543698,3.0,风景名胜_风景名胜_寺庙道观,0,non_red,['红色文化']
10dce809-5fdc-326e-9bcd-214f29b0a5df,广东省,440000,广州市,20,从化区,440117,河东广场,河东北路5号,[],江埔,风景名胜,公园广场,城市广场,110105,113.595113,23.544981,113.590009,23.547753,4.4,[],[],tour,113.590009,23.547753,4.4,风景名胜_公园广场_城市广场,0,non_red,['红色文化']
a1b4f990-e0ff-34b7-bb15-e87e02b96b9c,广东省,440000,广州市,20,从化区,440117,元一鹤年,碧溪横一街二巷与碧溪路交叉口东北20米,[],街口,风景名胜,风景名胜相关,旅游景点,110000,113.59108,23.542956,113.585973,23.545728,3.4,[],[],tour,113.585973,23.545728,3.4,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
a89c6684-21ae-354b-9bd5-0d9d17cb1d22,广东省,440000,广州市,20,从化区,440117,煌寝国栖,中田东路富力泉天下咪霸别墅(汇景分店),[],街口,风景名胜,风景名胜相关,旅游景点,110000,113.589883,23.543989,113.584775,23.54676,2.5,[],[],tour,113.584775,23.54676,2.5,风景名胜_风景名胜相关_旅游景点,0,non_red,['红色文化']
50860ab8-0938-3299-b210-c3d704bccce0,广东省,440000,广州市,20,从化区,440117,河西堤公园,河滨北路47号河岛公园(西南角),[],街口,风景名胜,公园广场,公园,110101,113.59319,23.54689,113.588084,23.549662,3.4,[],[],tour,113.588084,23.549662,3.4,风景名胜_公园广场_公园,0,non_red,['红色文化']
806700f4-9973-3730-ad4e-53a521f69de2,广东省,440000,广州市,20,从化区,440117,基督教从化堂,东成路14号,[],街口,风景名胜,风景名胜,教堂,110206,113.591614,23.546717,113.586507,23.549489,4.1,[],[],tour,113.586507,23.549489,4.1,风景名胜_风景名胜_教堂,0,non_red,['红色文化']
